编号,色名,HEX,H,S,L,色相分类,冷暖属性,同类色,邻近色,互补色,分裂互补,三角色,四角色,冷暖对照,明色搭配,暗色搭配,灰调搭配,中性色搭配,主色,辅色,点缀色,主辅点缀方案,算法说明
001,乳白,#F9F4DC,50,71,92,黄色系,暖,053-蚌肉白 #F9F1DB | 098-粉白 #FBF2E3 | 099-落英淡粉 #F9E8D0,184-初桃粉红 #F6DCCE | 185-介壳淡粉红 #F7CFBA | 171-藕荷 #EDC3AE | 497-嫩菊绿 #F0F5E5,691-云峰灰 #C1C8D6 | 353-淡蓝紫 #A7A8BD | 576-绀青 #4F84FF,588-雾绡 #CDE8F9 | 597-霜华 #D0E7F9 | 602-霜色 #E8F4F8 | 368-远天蓝 #D0DFE6,600-天水碧 #AED9D4 | 680-凝脂莲青 #C6E3E1 | 313-淡牵牛紫 #D1C2D3 | 546-月华 #E0FFFF,705-松花绿 #A0D6B4 | 424-月白 #EEF7F2 | 540-梅子青 #7BC092 | 610-藕丝 #D8B0C8,597-霜华 #D0E7F9 | 588-雾绡 #CDE8F9 | 602-霜色 #E8F4F8,053-蚌肉白 #F9F1DB | 682-奶油白 #FFF8E7 | 098-粉白 #FBF2E3,038-芒果黄 #DDC871 | 039-蒿黄 #DFC243 | 003-茉莉黄 #F8DF72,350-银白 #F1F0ED | 519-珍珠灰 #E4DFD7 | 707-白色 #F8F8F8,350-银白 #F1F0ED | 550-霜白 #F2F3F4 | 351-芡食白 #E2E1E4,001-乳白 #F9F4DC,053-蚌肉白 #F9F1DB | 098-粉白 #FBF2E3,576-绀青 #4F84FF | 597-霜华 #D0E7F9,主色：001-乳白 #F9F4DC；辅色：053-蚌肉白 #F9F1DB | 098-粉白 #FBF2E3；点缀色：576-绀青 #4F84FF | 597-霜华 #D0E7F9,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
154,燕颔红,#FC6315,20,97,54,橙色系,暖,189-莓酱红 #FA5D19 | 127-金莲花橙 #F86B1D | 137-金黄 #F26B1F,006-佛手黄 #FED71A | 010-金瓜黄 #FCD217 | 247-淡曙红 #EE2746 | 240-海棠红 #F03752,410-釉蓝 #1781B5 | 381-宝石蓝 #2486B9 | 387-牵牛花蓝 #1177B0,441-蓝绿 #12A182 | 434-美蝶绿 #12AA9C | 576-绀青 #4F84FF | 440-竹绿 #1BA784,540-梅子青 #7BC092 | 698-新绿 #6CC788 | 677-浅紫藤萝 #D1B3FF | 435-毛绿 #66C18C,410-釉蓝 #1781B5 | 381-宝石蓝 #2486B9 | 387-牵牛花蓝 #1177B0 | 376-涧石蓝 #66A9C9,592-瑶碧 #4B9CD3 | 625-蓝色 #4A8DDA | 372-睛蓝 #5698C3,169-野蔷薇红 #FB9968 | 186-淡藏花红 #F6AD8F | 116-玫瑰粉 #F8B37F,148-芒果棕 #954416 | 689-木色 #8B4513 | 153-筍皮棕 #732E12,706-灰色 #8A8A8A | 145-海鸥灰 #9A8878 | 144-银灰 #918072,706-灰色 #8A8A8A | 144-银灰 #918072 | 466-明灰 #8A988E,154-燕颔红 #FC6315,189-莓酱红 #FA5D19 | 127-金莲花橙 #F86B1D,372-睛蓝 #5698C3 | 592-瑶碧 #4B9CD3,主色：154-燕颔红 #FC6315；辅色：189-莓酱红 #FA5D19 | 127-金莲花橙 #F86B1D；点缀色：372-睛蓝 #5698C3 | 592-瑶碧 #4B9CD3,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
155,玉粉红,#E8B49A,20,63,76,橙色系,暖,171-藕荷 #EDC3AE | 123-颊红 #EEAA9C | 122-桃红 #F0ADA0,218-淡茜红 #E77C8E | 265-姜红 #EEB8C3 | 262-粉团花红 #EC9BAD | 305-石蕊红 #F0C9CF,710-浅蓝 #B0D4E3 | 561-雪青 #B0D8E8 | 562-云蓝 #87CEEB,600-天水碧 #AED9D4 | 680-凝脂莲青 #C6E3E1 | 575-露碧 #A0D8D8 | 442-穹灰 #C4D7D6,705-松花绿 #A0D6B4 | 540-梅子青 #7BC092 | 477-明绿 #9ECCAB | 698-新绿 #6CC788,710-浅蓝 #B0D4E3 | 561-雪青 #B0D8E8 | 562-云蓝 #87CEEB | 585-滢蓝 #8EC4E9,585-滢蓝 #8EC4E9 | 579-缥色 #A8C9E4 | 561-雪青 #B0D8E8,258-草珠红 #F8EBE6 | 184-初桃粉红 #F6DCCE | 715-浅杏粉 #F5E6E0,664-纁色 #D46D3A | 174-余烬红 #CF7543 | 156-金驼 #E46828,356-玛瑙灰 #CFCCC9 | 173-晓灰 #D4C4B7 | 644-素积 #D2C8BC,413-月影白 #C0C4C3 | 356-玛瑙灰 #CFCCC9 | 400-大理石灰 #C4CBCF,155-玉粉红 #E8B49A,171-藕荷 #EDC3AE | 123-颊红 #EEAA9C,562-云蓝 #87CEEB | 585-滢蓝 #8EC4E9,主色：155-玉粉红 #E8B49A；辅色：171-藕荷 #EDC3AE | 123-颊红 #EEAA9C；点缀色：562-云蓝 #87CEEB | 585-滢蓝 #8EC4E9,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
156,金驼,#E46828,20,78,53,橙色系,暖,172-陶瓷红 #E16723 | 157-铁棕 #D85916 | 129-龙睛鱼红 #EF632B,247-淡曙红 #EE2746 | 040-姜黄 #E2C027 | 224-石竹红 #EE4863 | 608-朱墙 #C41E3A,410-釉蓝 #1781B5 | 381-宝石蓝 #2486B9 | 376-涧石蓝 #66A9C9,441-蓝绿 #12A182 | 434-美蝶绿 #12AA9C | 440-竹绿 #1BA784 | 545-苍碧 #2A52BE,540-梅子青 #7BC092 | 698-新绿 #6CC788 | 318-槿紫 #806D9E | 435-毛绿 #66C18C,410-釉蓝 #1781B5 | 381-宝石蓝 #2486B9 | 376-涧石蓝 #66A9C9 | 387-牵牛花蓝 #1177B0,592-瑶碧 #4B9CD3 | 625-蓝色 #4A8DDA | 372-睛蓝 #5698C3,155-玉粉红 #E8B49A | 186-淡藏花红 #F6AD8F | 171-藕荷 #EDC3AE,153-筍皮棕 #732E12 | 148-芒果棕 #954416 | 689-木色 #8B4513,706-灰色 #8A8A8A | 145-海鸥灰 #9A8878 | 144-银灰 #918072,144-银灰 #918072 | 706-灰色 #8A8A8A | 523-瓦灰 #867E76,156-金驼 #E46828,172-陶瓷红 #E16723 | 129-龙睛鱼红 #EF632B,376-涧石蓝 #66A9C9 | 372-睛蓝 #5698C3,主色：156-金驼 #E46828；辅色：172-陶瓷红 #E16723 | 129-龙睛鱼红 #EF632B；点缀色：376-涧石蓝 #66A9C9 | 372-睛蓝 #5698C3,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
157,铁棕,#D85916,21,82,47,橙色系,暖,191-落霞红 #CF4813 | 172-陶瓷红 #E16723 | 156-金驼 #E46828,247-淡曙红 #EE2746 | 608-朱墙 #C41E3A | 240-海棠红 #F03752 | 249-鹅冠红 #D11A2D,381-宝石蓝 #2486B9 | 387-牵牛花蓝 #1177B0 | 410-釉蓝 #1781B5,434-美蝶绿 #12AA9C | 441-蓝绿 #12A182 | 440-竹绿 #1BA784 | 545-苍碧 #2A52BE,482-孔雀绿 #229453 | 537-翠微 #3CB371 | 540-梅子青 #7BC092 | 318-槿紫 #806D9E,381-宝石蓝 #2486B9 | 387-牵牛花蓝 #1177B0 | 410-釉蓝 #1781B5 | 382-天蓝 #1677B3,384-海青 #22A2C3 | 385-钴蓝 #1A94BC | 386-鸢尾蓝 #158BB8,121-海螺橙 #F0945D | 169-野蔷薇红 #FB9968 | 187-瓜瓤红 #F68C60,153-筍皮棕 #732E12 | 152-咖啡 #753117 | 148-芒果棕 #954416,525-雁灰 #80766E | 526-深灰 #81776E | 524-夜灰 #847C74,331-芦灰 #856D72 | 526-深灰 #81776E | 525-雁灰 #80766E,157-铁棕 #D85916,191-落霞红 #CF4813 | 172-陶瓷红 #E16723,381-宝石蓝 #2486B9 | 410-釉蓝 #1781B5,主色：157-铁棕 #D85916；辅色：191-落霞红 #CF4813 | 172-陶瓷红 #E16723；点缀色：381-宝石蓝 #2486B9 | 410-釉蓝 #1781B5,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
158,蛛网灰,#B7A091,24,21,64,橙色系,暖,722-杏子阴 #B8A996 | 192-淡玫瑰灰 #B89485 | 141-淡银灰 #C1B2A3,250-莓红 #C45A65 | 044-月灰 #B7AE8F | 276-山黎豆红 #C27C88 | 253-烟红 #894E54,398-晴山蓝 #8FB2C9 | 369-星蓝 #93B5CF | 397-云水蓝 #BACCD9,353-淡蓝紫 #A7A8BD | 600-天水碧 #AED9D4 | 442-穹灰 #C4D7D6 | 355-螺甸紫 #74759B,318-槿紫 #806D9E | 590-霜紫 #B8A5D2 | 435-毛绿 #66C18C | 458-玉簪绿 #A4CAB6,398-晴山蓝 #8FB2C9 | 313-淡牵牛紫 #D1C2D3 | 369-星蓝 #93B5CF | 397-云水蓝 #BACCD9,398-晴山蓝 #8FB2C9 | 662-烟蓝 #7BA4B8 | 369-星蓝 #93B5CF,173-晓灰 #D4C4B7 | 737-藕丝秋色 #DCC6B5 | 519-珍珠灰 #E4DFD7,558-烟褐 #8B6D5C | 160-中红灰 #8B614D | 146-淡咖啡 #945833,522-中灰 #A49C93 | 655-暖灰 #B7A8A5 | 521-铅灰 #BBB5AC,465-镍灰 #9FA39A | 690-高级灰 #9C9CA4 | 522-中灰 #A49C93,158-蛛网灰 #B7A091,722-杏子阴 #B8A996 | 044-月灰 #B7AE8F,369-星蓝 #93B5CF | 398-晴山蓝 #8FB2C9,主色：158-蛛网灰 #B7A091；辅色：722-杏子阴 #B8A996 | 044-月灰 #B7AE8F；点缀色：369-星蓝 #93B5CF | 398-晴山蓝 #8FB2C9,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
159,淡可可棕,#B7511D,20,73,42,橙色系,暖,640-韎韐 #A5441B | 193-蟹蝥红 #B14B28 | 175-火砖红 #CD6227,608-朱墙 #C41E3A | 275-尖晶玉红 #CC163A | 043-新禾绿 #D2B116 | 251-枫叶红 #C21F30,410-釉蓝 #1781B5 | 381-宝石蓝 #2486B9 | 387-牵牛花蓝 #1177B0,441-蓝绿 #12A182 | 440-竹绿 #1BA784 | 434-美蝶绿 #12AA9C | 545-苍碧 #2A52BE,482-孔雀绿 #229453 | 485-宫殿绿 #20894D | 540-梅子青 #7BC092 | 698-新绿 #6CC788,410-釉蓝 #1781B5 | 381-宝石蓝 #2486B9 | 387-牵牛花蓝 #1177B0 | 386-鸢尾蓝 #158BB8,385-钴蓝 #1A94BC | 381-宝石蓝 #2486B9 | 410-釉蓝 #1781B5,125-晨曦红 #EA8958 | 121-海螺橙 #F0945D | 190-法螺红 #EE8055,153-筍皮棕 #732E12 | 152-咖啡 #753117 | 151-丁香棕 #71361D,160-中红灰 #8B614D | 558-烟褐 #8B6D5C | 525-雁灰 #80766E,453-夏云灰 #617172 | 392-鱼尾灰 #5E616D | 359-锌灰 #7A7374,159-淡可可棕 #B7511D,640-韎韐 #A5441B | 193-蟹蝥红 #B14B28,381-宝石蓝 #2486B9 | 410-釉蓝 #1781B5,主色：159-淡可可棕 #B7511D；辅色：640-韎韐 #A5441B | 193-蟹蝥红 #B14B28；点缀色：381-宝石蓝 #2486B9 | 410-釉蓝 #1781B5,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
160,中红灰,#8B614D,19,29,42,橙色系,暖,673-复方甘草 #8B6E4F | 558-烟褐 #8B6D5C | 636-荞麦棕 #8B6D47,720-胭脂泪 #9D4E5C | 278-鼠背灰 #73575C | 046-草灰绿 #8E804B | 659-暗金 #9C8B4D,415-淡蓝灰 #5E7987 | 623-黛青山 #2E5A6F | 662-烟蓝 #7BA4B8,464-亚丁绿 #428675 | 527-蓝翠竹 #4B8F8C | 468-飞泉绿 #497568 | 461-梧枝绿 #69A794,582-荷绿 #4A7856 | 492-白屈菜绿 #485B4D | 540-梅子青 #7BC092 | 486-松霜绿 #83A78D,415-淡蓝灰 #5E7987 | 573-烟萦紫 #8A4B9C | 623-黛青山 #2E5A6F | 662-烟蓝 #7BA4B8,565-绀碧 #4B6C8C | 415-淡蓝灰 #5E7987 | 527-蓝翠竹 #4B8F8C,192-淡玫瑰灰 #B89485 | 158-蛛网灰 #B7A091 | 612-浅栗棕 #C8A58E,665-緅色 #5C4033 | 473-长石灰 #363433 | 165-中灰驼 #603D30,525-雁灰 #80766E | 526-深灰 #81776E | 359-锌灰 #7A7374,453-夏云灰 #617172 | 392-鱼尾灰 #5E616D | 359-锌灰 #7A7374,160-中红灰 #8B614D,673-复方甘草 #8B6E4F | 636-荞麦棕 #8B6D47,623-黛青山 #2E5A6F | 662-烟蓝 #7BA4B8,主色：160-中红灰 #8B614D；辅色：673-复方甘草 #8B6E4F | 636-荞麦棕 #8B6D47；点缀色：623-黛青山 #2E5A6F | 662-烟蓝 #7BA4B8,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
161,淡土黄,#8C4B31,17,48,37,橙色系,暖,146-淡咖啡 #945833 | 162-淡豆沙 #873D24 | 642-皮弁 #8B5D33,626-绛紫 #8E354A | 047-苔绿 #887322 | 046-草灰绿 #8E804B | 277-锦葵红 #BF3553,623-黛青山 #2E5A6F | 409-云山蓝 #2F90B9 | 591-缥青 #2B5F7C,464-亚丁绿 #428675 | 463-海王绿 #248067 | 441-蓝绿 #12A182 | 459-青矾绿 #2C9678,582-荷绿 #4A7856 | 492-白屈菜绿 #485B4D | 698-新绿 #6CC788 | 486-松霜绿 #83A78D,573-烟萦紫 #8A4B9C | 623-黛青山 #2E5A6F | 409-云山蓝 #2F90B9 | 591-缥青 #2B5F7C,591-缥青 #2B5F7C | 719-蓼蓝青 #2E5A88 | 734-石青 #2E5D8C,660-灰橙色 #C48A69 | 641-纁屦 #D47A5E | 192-淡玫瑰灰 #B89485,648-缁絇繶纯 #2E2014 | 167-可可棕 #652B1C | 153-筍皮棕 #732E12,615-緅 #5C4A43 | 149-石板灰 #624941 | 150-珠母灰 #64483D,491-田螺绿 #5E665B | 469-狼烟灰 #5D655F | 392-鱼尾灰 #5E616D,161-淡土黄 #8C4B31,642-皮弁 #8B5D33 | 146-淡咖啡 #945833,409-云山蓝 #2F90B9 | 591-缥青 #2B5F7C,主色：161-淡土黄 #8C4B31；辅色：642-皮弁 #8B5D33 | 146-淡咖啡 #945833；点缀色：409-云山蓝 #2F90B9 | 591-缥青 #2B5F7C,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
162,淡豆沙,#873D24,15,58,34,橙色系,暖,163-椰壳棕 #883A1E | 194-火岩棕 #863020 | 161-淡土黄 #8C4B31,626-绛紫 #8E354A | 047-苔绿 #887322 | 076-棕榈绿 #5B4913 | 075-暗海水绿 #584717,385-钴蓝 #1A94BC | 454-苍蓝 #134857 | 409-云山蓝 #2F90B9,463-海王绿 #248067 | 440-竹绿 #1BA784 | 459-青矾绿 #2C9678 | 464-亚丁绿 #428675,582-荷绿 #4A7856 | 492-白屈菜绿 #485B4D | 317-藤萝紫 #8076A3 | 698-新绿 #6CC788,385-钴蓝 #1A94BC | 454-苍蓝 #134857 | 409-云山蓝 #2F90B9 | 623-黛青山 #2E5A6F,727-青蓝 #2A5C82 | 591-缥青 #2B5F7C | 695-霁蓝 #1E5A8F,641-纁屦 #D47A5E | 174-余烬红 #CF7543 | 664-纁色 #D46D3A,648-缁絇繶纯 #2E2014 | 198-栗棕 #5C1E19 | 197-酱棕 #5A1F1B,149-石板灰 #624941 | 615-緅 #5C4A43 | 150-珠母灰 #64483D,492-白屈菜绿 #485B4D | 491-田螺绿 #5E665B | 469-狼烟灰 #5D655F,162-淡豆沙 #873D24,194-火岩棕 #863020 | 163-椰壳棕 #883A1E,385-钴蓝 #1A94BC | 409-云山蓝 #2F90B9,主色：162-淡豆沙 #873D24；辅色：194-火岩棕 #863020 | 163-椰壳棕 #883A1E；点缀色：385-钴蓝 #1A94BC | 409-云山蓝 #2F90B9,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
163,椰壳棕,#883A1E,16,64,33,橙色系,暖,162-淡豆沙 #873D24 | 194-火岩棕 #863020 | 152-咖啡 #753117,047-苔绿 #887322 | 626-绛紫 #8E354A | 048-碧螺春绿 #867018 | 076-棕榈绿 #5B4913,386-鸢尾蓝 #158BB8 | 385-钴蓝 #1A94BC | 454-苍蓝 #134857,463-海王绿 #248067 | 440-竹绿 #1BA784 | 441-蓝绿 #12A182 | 459-青矾绿 #2C9678,582-荷绿 #4A7856 | 492-白屈菜绿 #485B4D | 485-宫殿绿 #20894D | 482-孔雀绿 #229453,386-鸢尾蓝 #158BB8 | 385-钴蓝 #1A94BC | 454-苍蓝 #134857 | 409-云山蓝 #2F90B9,695-霁蓝 #1E5A8F | 591-缥青 #2B5F7C | 727-青蓝 #2A5C82,664-纁色 #D46D3A | 174-余烬红 #CF7543 | 641-纁屦 #D47A5E,648-缁絇繶纯 #2E2014 | 182-豆沙 #481E1C | 181-火山棕 #482522,149-石板灰 #624941 | 615-緅 #5C4A43 | 150-珠母灰 #64483D,492-白屈菜绿 #485B4D | 419-瓦罐灰 #47484C | 455-黄昏灰 #474B4C,163-椰壳棕 #883A1E,194-火岩棕 #863020 | 162-淡豆沙 #873D24,385-钴蓝 #1A94BC | 386-鸢尾蓝 #158BB8,主色：163-椰壳棕 #883A1E；辅色：194-火岩棕 #863020 | 162-淡豆沙 #873D24；点缀色：385-钴蓝 #1A94BC | 386-鸢尾蓝 #158BB8,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
164,淡铁灰,#5B423A,15,22,29,橙色系,暖,149-石板灰 #624941 | 150-珠母灰 #64483D | 665-緅色 #5C4033,332-暮云灰 #4F383E | 050-蟹壳灰 #695E45 | 281-苍蝇灰 #36282B | 049-燕羽灰 #685E48,456-灰蓝 #21373D | 571-潆青 #6B8E9A | 623-黛青山 #2E5A6F,470-绿灰 #314A43 | 464-亚丁绿 #428675 | 471-苍绿 #223E36 | 468-飞泉绿 #497568,492-白屈菜绿 #485B4D | 582-荷绿 #4A7856 | 317-藤萝紫 #8076A3 | 489-瓦松绿 #6E8B74,568-松墨 #2E4B26 | 456-灰蓝 #21373D | 571-潆青 #6B8E9A | 623-黛青山 #2E5A6F,704-黛色 #3B4F5C | 713-鸦青色 #2F4F4F | 623-黛青山 #2E5A6F,176-火泥棕 #AA6A4C | 558-烟褐 #8B6D5C | 192-淡玫瑰灰 #B89485,648-缁絇繶纯 #2E2014 | 529-黑 #000000 | 619-玄色 #1A1A1A,473-长石灰 #363433 | 638-緇 #3B3131 | 548-墨韵黑 #2E2E2E,419-瓦罐灰 #47484C | 455-黄昏灰 #474B4C | 554-鸦青 #424B50,164-淡铁灰 #5B423A,149-石板灰 #624941 | 150-珠母灰 #64483D,623-黛青山 #2E5A6F | 571-潆青 #6B8E9A,主色：164-淡铁灰 #5B423A；辅色：149-石板灰 #624941 | 150-珠母灰 #64483D；点缀色：623-黛青山 #2E5A6F | 571-潆青 #6B8E9A,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
165,中灰驼,#603D30,16,33,28,橙色系,暖,665-緅色 #5C4033 | 234-貂紫 #5D3131 | 164-淡铁灰 #5B423A,282-卵石紫 #30161C | 332-暮云灰 #4F383E | 626-绛紫 #8E354A | 046-草灰绿 #8E804B,623-黛青山 #2E5A6F | 456-灰蓝 #21373D | 457-深灰蓝 #132C33,464-亚丁绿 #428675 | 470-绿灰 #314A43 | 472-深海绿 #1A3B32 | 471-苍绿 #223E36,492-白屈菜绿 #485B4D | 582-荷绿 #4A7856 | 593-墨玉 #2E4B3A | 486-松霜绿 #83A78D,568-松墨 #2E4B26 | 623-黛青山 #2E5A6F | 456-灰蓝 #21373D | 573-烟萦紫 #8A4B9C,556-黛青 #2A475F | 704-黛色 #3B4F5C | 623-黛青山 #2E5A6F,176-火泥棕 #AA6A4C | 160-中红灰 #8B614D | 192-淡玫瑰灰 #B89485,648-缁絇繶纯 #2E2014 | 529-黑 #000000 | 619-玄色 #1A1A1A,615-緅 #5C4A43 | 473-长石灰 #363433 | 149-石板灰 #624941,419-瓦罐灰 #47484C | 455-黄昏灰 #474B4C | 554-鸦青 #424B50,165-中灰驼 #603D30,665-緅色 #5C4033 | 234-貂紫 #5D3131,623-黛青山 #2E5A6F | 457-深灰蓝 #132C33,主色：165-中灰驼 #603D30；辅色：665-緅色 #5C4033 | 234-貂紫 #5D3131；点缀色：623-黛青山 #2E5A6F | 457-深灰蓝 #132C33,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
166,淡栗棕,#673424,14,48,27,红色系,暖,167-可可棕 #652B1C | 196-暗驼棕 #592620 | 178-橡树棕 #773D31,075-暗海水绿 #584717 | 332-暮云灰 #4F383E | 076-棕榈绿 #5B4913 | 626-绛紫 #8E354A,457-深灰蓝 #132C33 | 454-苍蓝 #134857 | 456-灰蓝 #21373D,463-海王绿 #248067 | 472-深海绿 #1A3B32 | 470-绿灰 #314A43 | 471-苍绿 #223E36,492-白屈菜绿 #485B4D | 582-荷绿 #4A7856 | 363-暗龙胆紫 #22202E | 317-藤萝紫 #8076A3,457-深灰蓝 #132C33 | 454-苍蓝 #134857 | 456-灰蓝 #21373D | 568-松墨 #2E4B26,556-黛青 #2A475F | 623-黛青山 #2E5A6F | 549-夜筵青 #1D3F5A,176-火泥棕 #AA6A4C | 193-蟹蝥红 #B14B28 | 563-梅红 #B34B43,648-缁絇繶纯 #2E2014 | 529-黑 #000000 | 283-李紫 #2B1216,164-淡铁灰 #5B423A | 473-长石灰 #363433 | 615-緅 #5C4A43,419-瓦罐灰 #47484C | 455-黄昏灰 #474B4C | 554-鸦青 #424B50,166-淡栗棕 #673424,196-暗驼棕 #592620 | 167-可可棕 #652B1C,623-黛青山 #2E5A6F | 454-苍蓝 #134857,主色：166-淡栗棕 #673424；辅色：196-暗驼棕 #592620 | 167-可可棕 #652B1C；点缀色：623-黛青山 #2E5A6F | 454-苍蓝 #134857,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
167,可可棕,#652B1C,12,57,25,红色系,暖,168-柞叶棕 #692A1B | 198-栗棕 #5C1E19 | 166-淡栗棕 #673424,289-鹞冠紫 #621D34 | 075-暗海水绿 #584717 | 071-粽叶绿 #876818 | 076-棕榈绿 #5B4913,454-苍蓝 #134857 | 457-深灰蓝 #132C33 | 451-玉鈫蓝 #126E82,463-海王绿 #248067 | 459-青矾绿 #2C9678 | 470-绿灰 #314A43 | 471-苍绿 #223E36,363-暗龙胆紫 #22202E | 492-白屈菜绿 #485B4D | 582-荷绿 #4A7856 | 489-瓦松绿 #6E8B74,454-苍蓝 #134857 | 457-深灰蓝 #132C33 | 451-玉鈫蓝 #126E82 | 456-灰蓝 #21373D,741-青黛 #1A3A5F | 454-苍蓝 #134857 | 549-夜筵青 #1D3F5A,193-蟹蝥红 #B14B28 | 232-鹅血石红 #AB372F | 177-绀红 #A6522C,529-黑 #000000 | 648-缁絇繶纯 #2E2014 | 284-茄皮紫 #2D0C13,473-长石灰 #363433 | 179-海报灰 #483332 | 073-鹤灰 #4A4035,361-剑锋紫 #3E3841 | 693-松烟墨 #3B3A3E | 638-緇 #3B3131,167-可可棕 #652B1C,168-柞叶棕 #692A1B | 198-栗棕 #5C1E19,451-玉鈫蓝 #126E82 | 454-苍蓝 #134857,主色：167-可可棕 #652B1C；辅色：168-柞叶棕 #692A1B | 198-栗棕 #5C1E19；点缀色：451-玉鈫蓝 #126E82 | 454-苍蓝 #134857,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
168,柞叶棕,#692A1B,12,59,26,红色系,暖,167-可可棕 #652B1C | 151-丁香棕 #71361D | 198-栗棕 #5C1E19,289-鹞冠紫 #621D34 | 075-暗海水绿 #584717 | 071-粽叶绿 #876818 | 076-棕榈绿 #5B4913,454-苍蓝 #134857 | 451-玉鈫蓝 #126E82 | 457-深灰蓝 #132C33,463-海王绿 #248067 | 459-青矾绿 #2C9678 | 470-绿灰 #314A43 | 471-苍绿 #223E36,363-暗龙胆紫 #22202E | 492-白屈菜绿 #485B4D | 582-荷绿 #4A7856 | 489-瓦松绿 #6E8B74,454-苍蓝 #134857 | 451-玉鈫蓝 #126E82 | 457-深灰蓝 #132C33 | 456-灰蓝 #21373D,454-苍蓝 #134857 | 741-青黛 #1A3A5F | 549-夜筵青 #1D3F5A,193-蟹蝥红 #B14B28 | 641-纁屦 #D47A5E | 175-火砖红 #CD6227,648-缁絇繶纯 #2E2014 | 529-黑 #000000 | 284-茄皮紫 #2D0C13,473-长石灰 #363433 | 179-海报灰 #483332 | 164-淡铁灰 #5B423A,361-剑锋紫 #3E3841 | 693-松烟墨 #3B3A3E | 419-瓦罐灰 #47484C,168-柞叶棕 #692A1B,167-可可棕 #652B1C | 151-丁香棕 #71361D,451-玉鈫蓝 #126E82 | 454-苍蓝 #134857,主色：168-柞叶棕 #692A1B；辅色：167-可可棕 #652B1C | 151-丁香棕 #71361D；点缀色：451-玉鈫蓝 #126E82 | 454-苍蓝 #134857,基于真实 742 色库；按 HSL 色相角度推导关系，再用 Lab 感知距离、明度与饱和度排序；中性色按低饱和逻辑处理
